Full_Departure_Datetime,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEP_TIME,ARR_TIME
2017-01-23 06:19:00,2017-01-23,EV,20366,EV,N12167,3761,10135,1013503,30135,13930,30977,ORD,0619,718.0
2017-01-23 18:39:00,2017-01-23,EV,20366,EV,N134EV,5267,10135,1013503,30135,10397,30397,ATL,1839,2038.0
2017-01-23 17:34:00,2017-01-23,EV,20366,EV,N13979,3982,10135,1013503,30135,13930,30977,ORD,1734,1852.0
2017-01-23 12:59:00,2017-01-23,EV,20366,EV,N153PQ,5326,10135,1013503,30135,10397,30397,ATL,1259,1502.0
2017-01-23 10:52:00,2017-01-23,EV,20366,EV,N867AS,5307,10135,1013503,30135,11433,31295,DTW,1052,1220.0
2017-01-23 17:26:00,2017-01-23,OO,20304,OO,N446SW,4797,10135,1013503,30135,11433,31295,DTW,1726,1906.0
2017-01-23 12:44:00,2017-01-23,OO,20304,OO,N685BR,4518,10135,1013503,30135,11433,31295,DTW,1244,1418.0
2017-01-24 05:53:00,2017-01-24,DL,19790,DL,N921AT,2561,10135,1013503,30135,10397,30397,ATL,0553,755.0
2017-01-24 17:04:00,2017-01-24,EV,20366,EV,N11544,3982,10135,1013503,30135,13930,30977,ORD,1704,1824.0
2017-01-24 17:53:00,2017-01-24,EV,20366,EV,N134EV,5267,10135,1013503,30135,10397,30397,ATL,1753,1959.0
2017-01-24 10:31:00,2017-01-24,EV,20366,EV,N21537,3761,10135,1013503,30135,13930,30977,ORD,1031,1156.0
2017-01-24 05:34:00,2017-01-24,EV,20366,EV,N873AS,5307,10135,1013503,30135,11433,31295,DTW,0534,711.0
2017-01-24 12:36:00,2017-01-24,OO,20304,OO,N438SW,4518,10135,1013503,30135,11433,31295,DTW,1236,1416.0
2017-01-24 17:32:00,2017-01-24,OO,20304,OO,N781CA,4797,10135,1013503,30135,11433,31295,DTW,1732,1915.0
2017-01-25 05:57:00,2017-01-25,DL,19790,DL,N922AT,2561,10135,1013503,30135,10397,30397,ATL,0557,802.0
2017-01-25 06:03:00,2017-01-25,EV,20366,EV,N14977,3761,10135,1013503,30135,13930,30977,ORD,0603,740.0
2017-01-25 17:55:00,2017-01-25,EV,20366,EV,N232PQ,5267,10135,1013503,30135,10397,30397,ATL,1755,2007.0
2017-01-25 05:40:00,2017-01-25,EV,20366,EV,N917EV,5307,10135,1013503,30135,11433,31295,DTW,0540,751.0
2017-01-25 12:30:00,2017-01-25,OO,20304,OO,N915EV,4518,10135,1013503,30135,11433,31295,DTW,1230,1437.0
2017-01-25 17:27:00,2017-01-25,OO,20304,OO,N935SW,4797,10135,1013503,30135,11433,31295,DTW,1727,1920.0
2017-01-26 05:53:00,2017-01-26,DL,19790,DL,N967AT,2561,10135,1013503,30135,10397,30397,ATL,0553,809.0
2017-01-26 17:11:00,2017-01-26,EV,20366,EV,N12921,3982,10135,1013503,30135,13930,30977,ORD,1711,1816.0
2017-01-26 06:04:00,2017-01-26,EV,20366,EV,N13553,3761,10135,1013503,30135,13930,30977,ORD,0604,711.0
2017-01-26 12:56:00,2017-01-26,EV,20366,EV,N153PQ,5326,10135,1013503,30135,10397,30397,ATL,1256,1502.0
2017-01-26 17:53:00,2017-01-26,EV,20366,EV,N606LR,5267,10135,1013503,30135,10397,30397,ATL,1753,2001.0
2017-01-26 05:35:00,2017-01-26,EV,20366,EV,N859AS,5307,10135,1013503,30135,11433,31295,DTW,0535,735.0
2017-01-26 17:28:00,2017-01-26,OO,20304,OO,N443SW,4797,10135,1013503,30135,11433,31295,DTW,1728,1922.0
2017-01-26 12:34:00,2017-01-26,OO,20304,OO,N455CA,4518,10135,1013503,30135,11433,31295,DTW,1234,1441.0
2017-01-27 05:59:00,2017-01-27,DL,19790,DL,N950AT,2561,10135,1013503,30135,10397,30397,ATL,0559,804.0
2017-01-27 06:05:00,2017-01-27,EV,20366,EV,N13550,3761,10135,1013503,30135,13930,30977,ORD,0605,713.0
2017-01-27 17:31:00,2017-01-27,EV,20366,EV,N14904,3982,10135,1013503,30135,13930,30977,ORD,1731,1832.0
2017-01-27 12:59:00,2017-01-27,EV,20366,EV,N186PQ,5326,10135,1013503,30135,10397,30397,ATL,1259,1514.0
2017-01-27 19:49:00,2017-01-27,EV,20366,EV,N195PQ,5267,10135,1013503,30135,10397,30397,ATL,1949,2155.0
2017-01-27 05:40:00,2017-01-27,EV,20366,EV,N857AS,5307,10135,1013503,30135,11433,31295,DTW,0540,726.0
2017-01-27 12:42:00,2017-01-27,OO,20304,OO,N443SW,4518,10135,1013503,30135,11433,31295,DTW,1242,1431.0
2017-01-27 18:06:00,2017-01-27,OO,20304,OO,N685BR,4797,10135,1013503,30135,11433,31295,DTW,1806,1953.0
2017-01-28 06:00:00,2017-01-28,DL,19790,DL,N996AT,2561,10135,1013503,30135,10397,30397,ATL,0600,808.0
2017-01-28 06:07:00,2017-01-28,EV,20366,EV,N14570,3761,10135,1013503,30135,13930,30977,ORD,0607,718.0
2017-01-28 05:40:00,2017-01-28,OO,20304,OO,N912EV,4637,10135,1013503,30135,11433,31295,DTW,0540,717.0
2017-01-29 06:40:00,2017-01-29,DL,19790,DL,N987DN,1084,10135,1013503,30135,10397,30397,ATL,0640,851.0
2017-01-29 06:10:00,2017-01-29,EV,20366,EV,N16976,3761,10135,1013503,30135,13930,30977,ORD,0610,715.0
2017-01-29 17:37:00,2017-01-29,EV,20366,EV,N17196,3982,10135,1013503,30135,13930,30977,ORD,1737,1838.0
2017-01-29 18:02:00,2017-01-29,EV,20366,EV,N607LR,5267,10135,1013503,30135,10397,30397,ATL,1802,2007.0
2017-01-29 05:39:00,2017-01-29,OO,20304,OO,N463SW,3540,10135,1013503,30135,11433,31295,DTW,0539,733.0
2017-01-29 12:47:00,2017-01-29,OO,20304,OO,N8933B,4702,10135,1013503,30135,11433,31295,DTW,1247,1427.0
2017-01-29 18:33:00,2017-01-29,OO,20304,OO,N8968E,4797,10135,1013503,30135,11433,31295,DTW,1833,2018.0
2017-01-30 06:00:00,2017-01-30,DL,19790,DL,N915AT,2561,10135,1013503,30135,10397,30397,ATL,0600,826.0
2017-01-30 17:54:00,2017-01-30,EV,20366,EV,N147PQ,5267,10135,1013503,30135,10397,30397,ATL,1754,2014.0
2017-01-30 06:02:00,2017-01-30,EV,20366,EV,N14923,3761,10135,1013503,30135,13930,30977,ORD,0602,726.0
2017-01-30 17:14:00,2017-01-30,EV,20366,EV,N14923,3982,10135,1013503,30135,13930,30977,ORD,1714,1846.0
2017-01-30 15:37:00,2017-01-30,EV,20366,EV,N752EV,5326,10135,1013503,30135,10397,30397,ATL,1537,1726.0
2017-01-30 12:35:00,2017-01-30,OO,20304,OO,N439SW,4518,10135,1013503,30135,11433,31295,DTW,1235,1419.0
2017-01-30 17:35:00,2017-01-30,OO,20304,OO,N443SW,4797,10135,1013503,30135,11433,31295,DTW,1735,1931.0
2017-01-31 05:54:00,2017-01-31,DL,19790,DL,N607AT,2561,10135,1013503,30135,10397,30397,ATL,0554,759.0
2017-01-31 06:02:00,2017-01-31,EV,20366,EV,N11539,3761,10135,1013503,30135,13930,30977,ORD,0602,734.0
2017-01-31 17:08:00,2017-01-31,EV,20366,EV,N13975,3982,10135,1013503,30135,13930,30977,ORD,1708,1832.0
2017-01-31 17:56:00,2017-01-31,EV,20366,EV,N200PQ,5267,10135,1013503,30135,10397,30397,ATL,1756,2006.0
2017-01-31 05:38:00,2017-01-31,EV,20366,EV,N883AS,5307,10135,1013503,30135,11433,31295,DTW,0538,727.0
2017-01-31 21:19:00,2017-01-31,OO,20304,OO,N461SW,4797,10135,1013503,30135,11433,31295,DTW,2119,153.0
2017-01-31 12:33:00,2017-01-31,OO,20304,OO,N659BR,4518,10135,1013503,30135,11433,31295,DTW,1233,1448.0
2017-02-01 05:59:00,2017-02-01,DL,19790,DL,N975AT,2561,10135,1013503,30135,10397,30397,ATL,0559,821.0
2017-02-01 17:56:00,2017-02-01,EV,20366,EV,N176PQ,5267,10135,1013503,30135,10397,30397,ATL,1756,2013.0
2017-02-01 06:10:00,2017-02-01,EV,20366,EV,N22909,3761,10135,1013503,30135,13930,30977,ORD,0610,751.0
2017-02-01 07:39:00,2017-02-01,EV,20366,EV,N858AS,5307,10135,1013503,30135,11433,31295,DTW,0739,930.0
2017-02-01 12:36:00,2017-02-01,OO,20304,OO,N8828D,4518,10135,1013503,30135,11433,31295,DTW,1236,1433.0
2017-02-01 17:24:00,2017-02-01,OO,20304,OO,N8903A,4797,10135,1013503,30135,11433,31295,DTW,1724,1926.0
2017-02-02 06:00:00,2017-02-02,DL,19790,DL,N929AT,2561,10135,1013503,30135,10397,30397,ATL,0600,804.0
2017-02-02 06:09:00,2017-02-02,EV,20366,EV,N13566,3761,10135,1013503,30135,13930,30977,ORD,0609,738.0
2017-02-02 17:55:00,2017-02-02,EV,20366,EV,N146PQ,5267,10135,1013503,30135,10397,30397,ATL,1755,2007.0
2017-02-02 12:51:00,2017-02-02,EV,20366,EV,N176PQ,5326,10135,1013503,30135,10397,30397,ATL,1251,1458.0
2017-02-02 17:12:00,2017-02-02,EV,20366,EV,N18557,3982,10135,1013503,30135,13930,30977,ORD,1712,1838.0
2017-02-02 05:39:00,2017-02-02,EV,20366,EV,N981EV,5307,10135,1013503,30135,11433,31295,DTW,0539,720.0
2017-02-02 12:30:00,2017-02-02,OO,20304,OO,N438SW,4518,10135,1013503,30135,11433,31295,DTW,1230,1411.0
2017-02-02 17:19:00,2017-02-02,OO,20304,OO,N438SW,4797,10135,1013503,30135,11433,31295,DTW,1719,1903.0
2017-02-03 05:55:00,2017-02-03,DL,19790,DL,N950AT,2561,10135,1013503,30135,10397,30397,ATL,0555,801.0
2017-02-03 17:00:00,2017-02-03,EV,20366,EV,N12166,3982,10135,1013503,30135,13930,30977,ORD,1700,1813.0
2017-02-03 12:57:00,2017-02-03,EV,20366,EV,N153PQ,5326,10135,1013503,30135,10397,30397,ATL,1257,1511.0
2017-02-03 17:57:00,2017-02-03,EV,20366,EV,N200PQ,5267,10135,1013503,30135,10397,30397,ATL,1757,2000.0
2017-02-03 06:06:00,2017-02-03,EV,20366,EV,N21537,3761,10135,1013503,30135,13930,30977,ORD,0606,721.0
2017-02-03 05:43:00,2017-02-03,EV,20366,EV,N921EV,5307,10135,1013503,30135,11433,31295,DTW,0543,739.0
2017-02-03 12:38:00,2017-02-03,OO,20304,OO,N454SW,4518,10135,1013503,30135,11433,31295,DTW,1238,1421.0
