DEP_DELAY,ARR_DELAY,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,Full_Departure_Datetime
-3.0,-8.0,0,0.0,0.0,2017-02-03 06:06:00
-2.0,-2.0,0,0.0,0.0,2017-02-03 05:43:00
-2.0,-11.0,0,0.0,0.0,2017-02-03 12:38:00
-4.0,7.0,0,0.0,0.0,2017-02-03 17:28:00
34.0,24.0,0,24.0,0.0,2017-02-04 06:34:00
-9.0,-5.0,0,0.0,0.0,2017-02-04 06:00:00
1.0,-10.0,0,0.0,0.0,2017-02-05 06:50:00
169.0,155.0,0,0.0,0.0,2017-02-05 08:58:00
-5.0,-9.0,0,0.0,0.0,2017-02-05 17:10:00
-5.0,-11.0,0,0.0,0.0,2017-02-05 12:35:00
17.0,-1.0,0,0.0,0.0,2017-02-06 06:17:00
12.0,6.0,0,0.0,0.0,2017-02-06 06:21:00
-5.0,-15.0,0,0.0,0.0,2017-02-06 17:55:00
-8.0,-16.0,0,0.0,0.0,2017-02-06 17:01:00
-3.0,-29.0,0,0.0,0.0,2017-02-06 12:59:00
-7.0,-1.0,0,0.0,0.0,2017-02-06 17:25:00
-3.0,3.0,0,0.0,0.0,2017-02-06 12:37:00
-3.0,-21.0,0,0.0,0.0,2017-02-07 05:57:00
-6.0,-7.0,0,0.0,0.0,2017-02-07 06:03:00
-10.0,-20.0,0,0.0,0.0,2017-02-07 17:05:00
-14.0,-17.0,0,0.0,0.0,2017-02-07 17:46:00
-5.0,-24.0,0,0.0,0.0,2017-02-07 05:40:00
-6.0,-16.0,0,0.0,0.0,2017-02-07 12:34:00
-8.0,-7.0,0,0.0,0.0,2017-02-07 17:24:00
-6.0,-7.0,0,0.0,0.0,2017-02-08 05:54:00
-3.0,-7.0,0,0.0,0.0,2017-02-08 06:06:00
-5.0,-10.0,0,0.0,0.0,2017-02-08 17:55:00
-3.0,1.0,0,0.0,0.0,2017-02-08 05:42:00
-4.0,-1.0,0,0.0,0.0,2017-02-08 12:36:00
-7.0,-11.0,0,0.0,0.0,2017-02-08 17:25:00
-6.0,122.0,0,0.0,0.0,2017-02-09 05:54:00
-5.0,-1.0,0,0.0,0.0,2017-02-09 12:35:00
-4.0,1.0,0,0.0,0.0,2017-02-09 17:28:00
0.0,41.0,0,0.0,0.0,2017-02-10 06:00:00
-2.0,-21.0,0,0.0,0.0,2017-02-10 17:07:00
0.0,-25.0,0,0.0,0.0,2017-02-10 18:00:00
-5.0,-33.0,0,0.0,0.0,2017-02-10 12:57:00
-4.0,-4.0,0,0.0,0.0,2017-02-10 05:41:00
-5.0,-21.0,0,0.0,0.0,2017-02-10 12:35:00
3.0,-3.0,0,0.0,0.0,2017-02-11 06:03:00
9.0,16.0,0,9.0,0.0,2017-02-11 06:18:00
-2.0,-19.0,0,0.0,0.0,2017-02-12 06:38:00
-1.0,-1.0,0,0.0,0.0,2017-02-12 06:08:00
