Unnamed: 0,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,Full_Departure_Datetime
325065,2017-01-23,EV,20366,EV,N134EV,5267,10135,1013503,30135,10397,30397,ATL,1839,39.0,2038.0,13.0,0.0,0.0,0.0,2017-01-23 18:39:00
325128,2017-01-23,EV,20366,EV,N13979,3982,10135,1013503,30135,13930,30977,ORD,1734,19.0,1852.0,17.0,0.0,0.0,0.0,2017-01-23 17:34:00
325285,2017-01-23,EV,20366,EV,N153PQ,5326,10135,1013503,30135,10397,30397,ATL,1259,-3.0,1502.0,-23.0,0.0,0.0,0.0,2017-01-23 12:59:00
325844,2017-01-23,EV,20366,EV,N867AS,5307,10135,1013503,30135,11433,31295,DTW,1052,307.0,1220.0,279.0,0.0,279.0,0.0,2017-01-23 10:52:00
327422,2017-01-23,OO,20304,OO,N446SW,4797,10135,1013503,30135,11433,31295,DTW,1726,-6.0,1906.0,-16.0,0.0,0.0,0.0,2017-01-23 17:26:00
327641,2017-01-23,OO,20304,OO,N685BR,4518,10135,1013503,30135,11433,31295,DTW,1244,4.0,1418.0,-14.0,0.0,0.0,0.0,2017-01-23 12:44:00
338864,2017-01-24,DL,19790,DL,N921AT,2561,10135,1013503,30135,10397,30397,ATL,0553,-7.0,755.0,-21.0,0.0,0.0,0.0,2017-01-24 05:53:00
339831,2017-01-24,EV,20366,EV,N11544,3982,10135,1013503,30135,13930,30977,ORD,1704,-11.0,1824.0,-11.0,0.0,0.0,0.0,2017-01-24 17:04:00
339947,2017-01-24,EV,20366,EV,N134EV,5267,10135,1013503,30135,10397,30397,ATL,1753,-7.0,1959.0,-26.0,0.0,0.0,0.0,2017-01-24 17:53:00
340329,2017-01-24,EV,20366,EV,N21537,3761,10135,1013503,30135,13930,30977,ORD,1031,262.0,1156.0,267.0,0.0,0.0,0.0,2017-01-24 10:31:00
340730,2017-01-24,EV,20366,EV,N873AS,5307,10135,1013503,30135,11433,31295,DTW,0534,-11.0,711.0,-30.0,0.0,0.0,0.0,2017-01-24 05:34:00
342198,2017-01-24,OO,20304,OO,N438SW,4518,10135,1013503,30135,11433,31295,DTW,1236,-4.0,1416.0,-16.0,0.0,0.0,0.0,2017-01-24 12:36:00
342735,2017-01-24,OO,20304,OO,N781CA,4797,10135,1013503,30135,11433,31295,DTW,1732,0.0,1915.0,-7.0,0.0,0.0,0.0,2017-01-24 17:32:00
353643,2017-01-25,DL,19790,DL,N922AT,2561,10135,1013503,30135,10397,30397,ATL,0557,-3.0,802.0,-14.0,0.0,0.0,0.0,2017-01-25 05:57:00
354937,2017-01-25,EV,20366,EV,N14977,3761,10135,1013503,30135,13930,30977,ORD,0603,-6.0,740.0,11.0,0.0,0.0,0.0,2017-01-25 06:03:00
355123,2017-01-25,EV,20366,EV,N232PQ,5267,10135,1013503,30135,10397,30397,ATL,1755,-5.0,2007.0,-18.0,0.0,0.0,0.0,2017-01-25 17:55:00
355602,2017-01-25,EV,20366,EV,N917EV,5307,10135,1013503,30135,11433,31295,DTW,0540,-5.0,751.0,10.0,0.0,0.0,0.0,2017-01-25 05:40:00
357940,2017-01-25,OO,20304,OO,N915EV,4518,10135,1013503,30135,11433,31295,DTW,1230,-10.0,1437.0,5.0,0.0,0.0,0.0,2017-01-25 12:30:00
358044,2017-01-25,OO,20304,OO,N935SW,4797,10135,1013503,30135,11433,31295,DTW,1727,-5.0,1920.0,-2.0,0.0,0.0,0.0,2017-01-25 17:27:00
369339,2017-01-26,DL,19790,DL,N967AT,2561,10135,1013503,30135,10397,30397,ATL,0553,-7.0,809.0,-7.0,0.0,0.0,0.0,2017-01-26 05:53:00
